GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0099512	supramolecular fiber	6.29107167943816e-07	6.29107167943816e-07	+1	Ankrd1,Cobl,Amot,Tnnt2,Tnnc1,Tek,Slc8a1,Mns1,Krt7,Neb,Dsp,Mybphl,Capn6,Tubb3,Nebl,Krt80,Enkur,Cfap141,Cfap45,Actc1,Atp2b4,Lum,Arhgap18,Synpo2,Kcnj8,Abcc9,Col3a1,Lmna,Col5a3,Col1a2,Rab3d,Map1a,Mtus2,Ltbp4,Col6a1,Dnm1,Ezr,RGD1564899,Ak1,Fhl3,Sync,Des,Mfap4,Synm,Ldb3,Jph2,Hck,Spef1,Pierce2
GO:0120025	plasma membrane bounded cell projection	6.29107167943816e-07	6.29107167943816e-07	+1	Ptk2b,Cobl,Cd200,Amot,Ehd3,Pcsk5,Tek,Dlc1,Ajuba,Slc8a1,Plcb4,Plekhh2,Adgrg1,Mns1,Syt11,C2cd3,Cdkl5,Ppp1r9a,Ptprf,Alcam,Igsf9,Phactr4,Tmem108,Tprn,Cfap100,Prss12,Asap3,Dnah17,Epb41l5,Dcdc2,Rapgef3,Prkaa2,Dnah7,Dscam,Tubb3,Iqub,Gpr19,Foxa1,Uchl1,Enkur,Cfap141,Anks1b,Cntnap2,Actl7a,LOC103690152,Cfap45,Cfap70,Adcy5,Eps8l1,Scn11a,Atp2b4,Arhgap18,Sncg,Ift57,Kitlg,Vcan,Cyth3,Baiap2,Dock4,Sv2a,Dnm1,Tnn,Ezr,Ak1,Gpr88,Ptch1,Itga3,Ptgs1,Cybrd1,Slc43a1,Vcam1,Ephb2,Itgb3,Atcay,Trpv2,Arc,Mok,Drc3,Spef1,Scn1b,Pierce2,Dnai2,Azin2,Cnga1,Gli1,Glra1
GO:0005856	cytoskeleton	1.23291211528587e-06	1.23291211528587e-06	+1	Ptk2b,Cobl,Arhgap21,Nlrp3,Amot,Tnnt2,Lats2,Tnnc1,Mtus1,Tek,Ptpn21,Tnik,Dlc1,Mcm3,Slc8a1,Cttnbp2nl,Plekhh2,Mns1,C2cd3,Rell1,Cdkl5,Ppp1r9a,Rb1,E2f1,Rassf7,Cdc6,Krt7,Cep70,Unc119,Cfap100,Cdc42ep2,Dnah17,Tfdp2,Epb41l5,Dcdc2,Dsp,Rapgef3,Capn6,Cgnl1,Dnah7,Tubb3,Nebl,Iqub,Rragd,Rnd1,Krt80,Cgn,Tekt1,Spta1,Enkur,Cfap141,Anks1b,Hap1,Itgb6,Mpp4,Cdc42bpg,LOC500124,Cfap45,Cfap70,Arhgap18,Synpo2,Sncg,Lmna,Hspb7,Dysf,Ift57,Baiap2,Rab3d,Fdps,Map1a,Mtus2,Dnm1,Mylip,Ezr,Capg,Ak1,Fhl3,Sync,Procr,Rflnb,Des,Vcam1,Gpsm2,Synm,Cdkl2,Ldb3,Plk3,Rap1gap2,Arsj,Rgs22,Arhgap6,Hck,Drc3,Gem,Spef1,Epha3,Pierce2,Dnai2,Dyrk3,Cd180,Gli1,Eef1akmt3
GO:0099080	supramolecular complex	4.35364951315874e-06	4.35364951315874e-06	+1	Ankrd1,Cobl,Amot,Tnnt2,Tnnc1,Tek,Cdt1,Ajuba,Slc8a1,Mns1,Krt7,Neb,Trim25,Dsp,Prkaa2,Mybphl,Capn6,Sncaip,Tubb3,Nebl,Krt80,Tex14,Enkur,Cfap141,Nanos3,Cfap45,Actc1,Atp2b4,Lum,Arhgap18,Synpo2,Kcnj8,Abcc9,Col3a1,Lmna,Col5a3,Col1a2,Rab3d,Map1a,Mtus2,Ltbp4,Col6a1,Dnm1,Ezr,RGD1564899,Ak1,Fhl3,Sync,Des,Mfap4,Synm,Ldb3,Jph2,Col4a6,Arc,Hck,Spef1,Pierce2,Socs1,Dyrk3
GO:0030016	myofibril	1.59135428945923e-05	1.59135428945923e-05	+1	Ankrd1,Tnnt2,Tnnc1,Slc8a1,Neb,Mybphl,Nebl,Actc1,Atp2b4,Synpo2,Kcnj8,Abcc9,Col6a1,RGD1564899,Fhl3,Sync,Synm,Ldb3,Jph2
GO:0030054	cell junction	3.14415351041875e-05	3.14415351041875e-05	+1	Prag1,Kcnd3,Plekha7,Ptk2b,Cdh15,Slc6a7,Vegfa,Arhgap21,Jag1,Amot,Pard6b,Tek,Dlc1,Ajuba,Slc8a1,Plcb4,Arhgap28,Syt11,Cacnb4,Cdkl5,Ppp1r9a,Bcar3,Cldn15,Igsf9,Samd4a,Heg1,Tmem108,Dgke,Prss12,Asap3,Epb41l5,Dsp,Tspan15,Gjc2,Cgnl1,Rnd1,Tbc1d2,Cldn19,Anks1b,Itgb6,Mpp4,Apba2,Chrnb2,Actc1,Arhgap22,Synpo2,Kcnj8,Vcan,Cyth3,Baiap2,Lama4,Sv2a,Rexo2,Gja5,Dnm1,Serpine2,Tnn,Ezr,Flrt2,Wnk3,Sync,Itga3,Ephb2,Adam23,Hapln1,Icam5,Pcdh1,Itgb3,Sparcl1,Arc,Ptn,Hck,Colq,Scn1b,Dnajc6,Scn4b,Pclo,Ppfia3,Glra1
GO:0043292	contractile muscle fiber	3.14415351041875e-05	3.14415351041875e-05	+1	Ankrd1,Tnnt2,Tnnc1,Slc8a1,Neb,Mybphl,Nebl,Actc1,Atp2b4,Synpo2,Kcnj8,Abcc9,Col6a1,RGD1564899,Fhl3,Sync,Synm,Ldb3,Jph2
GO:0009986	cell surface	6.42438427586583e-05	6.42438427586583e-05	+1	Pdgfb,Hbegf,Itga6,Fgfr2,Vegfa,Cd200,Amot,Tek,Itga8,Adamts15,Alcam,Lpar1,Bcam,Tspan15,Slc4a4,Emp2,Clec4m,Itgb6,Cntnap2,Ldlr,Thy1,Lrp8,Bgn,Igf2r,Cd14,Vcan,Itga4,Tnn,Itga3,Vcam1,Cd38,Rtn4rl1,Fut4,Itgb3,Trpv2,Sulf2,Dnai2,Enox1,Hjv,Vtcn1,Glra1
GO:0042383	sarcolemma	0.000247231852356741	0.000247231852356741	+1	Slc8a1,Col6a3,Atp2b4,Col6a2,Bgn,Sgcg,Dysf,Col6a1,Sgcb,Sync,Synm,Scn1b
GO:0099568	cytoplasmic region	0.000451906976004286	0.000451906976004286	+1	Mns1,Dnah17,Dcdc2,Dnah7,Iqub,Enkur,Cfap141,Cfap45,Cfap70,Ift57,Gpsm2,Arc,Drc3,Pierce2,Dnai2,Pclo,Gli1,Ppfia3
GO:0030017	sarcomere	0.000451906976004286	0.000451906976004286	+1	Ankrd1,Tnnt2,Tnnc1,Slc8a1,Neb,Nebl,Actc1,Atp2b4,Synpo2,Abcc9,RGD1564899,Fhl3,Sync,Ldb3,Jph2
GO:0098797	plasma membrane protein complex	0.00047567048900259	0.00047567048900259	+1	Kcnd3,Itga6,Itga8,Cacnb4,Alcam,Il23r,Gjc2,Igf1,Cacna1e,Itgb6,Cntnap2,Chrnb2,Lcn12,Scn11a,Abcc9,Sgcg,Il18rap,B2m,Itga4,Itga10,Gja5,Gng8,Sgcb,Kcnq5,Itga3,Vcam1,Itgb3,Hcn4,Grin3b,Calcrl,Scn1b,Sspn,Nox1,Scn4b
GO:0098636	protein complex involved in cell adhesion	0.000536622255401033	0.000536622255401033	+1	Itga6,Itga8,Itgb6,Itga4,Lgals1,Itga10,Tnn,Itga3,Itgb3
GO:0031674	I band	0.000565309996208662	0.000565309996208662	+1	Ankrd1,Slc8a1,Neb,Nebl,Actc1,Atp2b4,Synpo2,RGD1564899,Fhl3,Sync,Ldb3,Jph2
GO:0012505	endomembrane system	0.000565309996208662	0.000565309996208662	+1	Cdh15,Vegfa,Arhgap21,Anxa3,Ehd3,Pcsk5,Nbas,Slc30a1,Dlc1,Ajuba,Stc2,Plcb4,Itga8,Lmo7,Mns1,Syt11,Gata6,Cyp2c11,Myrf,Crispld2,Rab30,Lpar1,Dgat2,Gpsm1,Tmem108,Chac1,Sgms2,Eda,Ugcg,Smad6,Plagl1,Tmem86a,Prkaa2,Hacd4,Vamp1,Zdhhc15,Cemip,Dapk2,Emp2,Iqub,Atp2c2,Ticam2,Gpc2,Tlr7,Zfyve28,Atp2a1,Svip,Enkur,Cntnap2,Actl7a,Abca8,Mttp,Calr4,Terb1,Ldlr,Tgfbi,Thy1,Scd,Cyp1b1,Dhcr24,Bgn,Scara3,Igf2r,Cd14,Scd2,Lmna,Avpr1a,B2m,Dysf,Ift57,Cpq,Creb3l1,Nsf,Arf2,Hmgcr,Ap1s2,Arrdc3,Rab3d,Galnt1,Lss,Fdft1,Xbp1,Fdps,Copz2,Dmpk,Nsdhl,Laptm4b,Dock4,Sv2a,Ptprn,Hsd17b7,Col6a1,Dnm1,Serpine2,Selenom,Ezr,Ptch1,Syne3,Ptgs1,Slc26a7,Vcam1,Thbs2,Jph2,Plk3,Fut4,Rap1gap2,Shisa2,Has2,Nr4a1,Sphk1,Ak9,Ptn,Agmo,Lama3,Atp8a2,Scg5,Calcrl,Ramp2,Epha3,Sspn,Stxbp2,Pcyt1b,Sulf2,Nox1,Azin2,Plcd4,Cyp2s1,Ppfia3,Syne4,Apob,Glra1
GO:0036477	somatodendritic compartment	0.000681000538192742	0.000681000538192742	+1	Cobl,Cd200,Pcsk5,Slc8a1,Plcb4,Syt11,Ppp1r9a,Ptprf,Alcam,Igsf9,Tmem108,Prss12,Prkaa2,Dscam,Tubb3,Uchl1,Anks1b,LOC103690152,Scn11a,Ldlr,Sncg,Ift57,Tnn,Ephb2,Arc,Grin3b,Azin2,Apob,Glra1
GO:0070161	anchoring junction	0.000781063009043452	0.000781063009043452	+1	Prag1,Plekha7,Ptk2b,Vegfa,Jag1,Amot,Pard6b,Tek,Dlc1,Ajuba,Slc8a1,Bcar3,Cldn15,Heg1,Asap3,Epb41l5,Dsp,Gjc2,Cgnl1,Rnd1,Cldn19,Itgb6,Mpp4,Synpo2,Cyth3,Sv2a,Rexo2,Gja5,Ezr,Flrt2,Wnk3,Itgb3,Hck,Scn1b,Scn4b
GO:0043235	receptor complex	0.00126474062540534	0.00126474062540534	+1	Itga6,Itga8,Tnfrsf11b,Alcam,Il23r,Musk,Tlr7,Itgb6,Plxdc1,Chrnb2,Mttp,Ldlr,Lrp8,Cd14,Il18rap,B2m,Itga4,Loxl4,Itga10,Itga3,Htr2a,Itgb3,Grin3b,Calcrl
GO:0015629	actin cytoskeleton	0.00126474062540534	0.00126474062540534	+1	Cobl,Arhgap21,Amot,Tnnt2,Tnnc1,Tek,Dlc1,Cttnbp2nl,Plekhh2,Ppp1r9a,Rapgef3,Cgnl1,Nebl,Rnd1,Cgn,Spta1,Mpp4,Synpo2,Hspb7,Baiap2,Ezr,Fhl3,Rflnb,Vcam1,Arsj,Rgs22,Arhgap6,Hck,Epha3
GO:0043025	neuronal cell body	0.00153417227645397	0.00153417227645397	+1	Cobl,Cd200,Pcsk5,Slc8a1,Ptprf,Alcam,Prkaa2,Dscam,Tubb3,Uchl1,LOC103690152,Scn11a,Sncg,Tnn,Ephb2,Grin3b,Azin2,Apob,Glra1
GO:0008305	integrin complex	0.00164639191319347	0.00164639191319347	+1	Itga6,Itga8,Itgb6,Itga4,Itga10,Itga3,Itgb3
GO:0032838	plasma membrane bounded cell projection cytoplasm	0.00240362588552798	0.00240362588552798	+1	Mns1,Dnah17,Dcdc2,Dnah7,Iqub,Enkur,Cfap141,Cfap45,Cfap70,Ift57,Arc,Drc3,Pierce2,Dnai2,Gli1
GO:0005930	axoneme	0.00240362588552798	0.00240362588552798	+1	Mns1,Dnah17,Dcdc2,Dnah7,Iqub,Enkur,Cfap141,Cfap45,Cfap70,Ift57,Drc3,Pierce2,Dnai2,Gli1
GO:0097014	ciliary plasm	0.00240362588552798	0.00240362588552798	+1	Mns1,Dnah17,Dcdc2,Dnah7,Iqub,Enkur,Cfap141,Cfap45,Cfap70,Ift57,Drc3,Pierce2,Dnai2,Gli1
GO:0036454	growth factor complex	0.00261460027560939	0.00261460027560939	+1	Pdgfb,Vegfa,Igf1,Igfbp5
GO:0005581	collagen trimer	0.0027453584626517	0.0027453584626517	+1	Col6a3,Lum,Col3a1,Col5a3,Col1a2,Col4a6
GO:0030018	Z disc	0.00274723366133945	0.00274723366133945	+1	Slc8a1,Neb,Nebl,Atp2b4,Synpo2,RGD1564899,Fhl3,Sync,Ldb3,Jph2
GO:0005604	basement membrane	0.00349065280584771	0.00349065280584771	+1	Fras1,Vegfa,Timp3,Lama4,Col6a1,Thbs2,Mmrn2,Col15a1,Col4a6,Lama3
